"","X","Habitat","BaitGrid.x","Neg","Pos","Sum","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y"
"1",1,"Bottomland","B1_Fall 2020",4,9,13,2020,"Rhodamine","Fall","B1","75","3",-0.764800854376803,2.03835208911397,"B1_Fall "
"2",2,"Bottomland","B1_Fall 2021",4,4,8,2021,"Pr_IPA","Fall","B1","75","3",-0.764800854376803,2.03835208911397,"B1_Fall "
"6",6,"Bottomland","B1_Spring 2021",11,2,13,2021,"Et_IPA","Spring","B1","75","3",-0.23544080229974,-0.07435618680525,"B1_Spring "
"7",7,"Bottomland","B1_Spring 2022",0,1,1,2022,"Rhodamine","Spring","B1","75","3",-0.23544080229974,-0.07435618680525,"B1_Spring "
"8",8,"Bottomland","B2_Fall 2020",16,4,20,2020,"Rhodamine","Fall","B2","75","3",3.48295368469532,5.16026359551393,"B2_Fall "
"9",9,"Bottomland","B2_Fall 2021",5,1,6,2021,"Pr_IPA","Fall","B2","75","3",3.48295368469532,5.16026359551393,"B2_Fall "
"13",13,"Bottomland","B2_Spring 2021",12,0,12,2021,"Et_IPA","Spring","B2","75","3",1.82101802488258,1.70476796711399,"B2_Spring "
"14",14,"Bottomland","B2_Spring 2022",1,0,1,2022,"Rhodamine","Spring","B2","75","3",1.82101802488258,1.70476796711399,"B2_Spring "
"15",15,"Bottomland","B3_Fall 2020",3,5,8,2020,"Rhodamine","Fall","B3","75","3",1.39241741679756,1.68036668880724,"B3_Fall "
"16",16,"Bottomland","B3_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","B3","75","3",1.39241741679756,1.68036668880724,"B3_Fall "
"20",20,"Bottomland","B3_Spring 2021",2,0,2,2021,"Et_IPA","Spring","B3","75","3",0.200268675764008,0.763633483601181,"B3_Spring "
"21",21,"Bottomland","B3_Spring 2022",1,0,1,2022,"Rhodamine","Spring","B3","75","3",0.200268675764008,0.763633483601181,"B3_Spring "
"22",22,"Bottomland","B4_Fall 2020",3,2,5,2020,"Rhodamine","Fall","B4","150","3",3.16285283440751,-0.555240745952108,"B4_Fall "
"23",23,"Bottomland","B4_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","B4","150","3",3.16285283440751,-0.555240745952108,"B4_Fall "
"27",27,"Bottomland","B4_Spring 2021",3,0,3,2021,"Et_IPA","Spring","B4","150","3",1.41665995093533,0.261237136590812,"B4_Spring "
"28",28,"Bottomland","B4_Spring 2022",1,1,2,2022,"Rhodamine","Spring","B4","150","3",1.41665995093533,0.261237136590812,"B4_Spring "
"29",29,"Bottomland","B5_Fall 2020",5,1,6,2020,"Rhodamine","Fall","B5","150","3",2.06559009037652,-0.145332853450185,"B5_Fall "
"30",30,"Bottomland","B5_Fall 2021",5,0,5,2021,"Pr_IPA","Fall","B5","150","3",2.06559009037652,-0.145332853450185,"B5_Fall "
"34",34,"Bottomland","B5_Spring 2021",7,1,8,2021,"Et_IPA","Spring","B5","150","3",0.685126382819562,-0.242019155028445,"B5_Spring "
"35",35,"Bottomland","B5_Spring 2022",0,1,1,2022,"Rhodamine","Spring","B5","150","3",0.685126382819562,-0.242019155028445,"B5_Spring "
"36",36,"Bottomland","B6_Fall 2020",7,2,9,2020,"Rhodamine","Fall","B6","150","3",0.00801857636195651,1.09424064483514,"B6_Fall "
"37",37,"Bottomland","B6_Fall 2021",2,6,8,2021,"Pr_IPA","Fall","B6","150","3",0.00801857636195651,1.09424064483514,"B6_Fall "
"40",40,"Bottomland","B6_Spring 2021",7,6,13,2021,"Et_IPA","Spring","B6","150","3",0.31095779170131,0.406983427417429,"B6_Spring "
"41",41,"Bottomland","B6_Spring 2022",3,1,4,2022,"Rhodamine","Spring","B6","150","3",0.31095779170131,0.406983427417429,"B6_Spring "
"45",45,"Pine","P2_Fall 2020",4,1,5,2020,"Rhodamine","Fall","P2","75","3",-0.69009808569134,-0.737800252024009,"P2_Fall "
"46",46,"Pine","P2_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","P2","75","3",-0.69009808569134,-0.737800252024009,"P2_Fall "
"50",50,"Pine","P2_Spring 2021",1,2,3,2021,"Et_IPA","Spring","P2","75","3",-0.907166103942832,-0.124846238679977,"P2_Spring "
"51",51,"Pine","P2_Spring 2022",1,0,1,2022,"Rhodamine","Spring","P2","75","3",-0.907166103942832,-0.124846238679977,"P2_Spring "
"52",52,"Pine","P3_Fall 2020",3,1,4,2020,"Rhodamine","Fall","P3","75","3",-1.06482191609996,-1.37519279054466,"P3_Fall "
"56",56,"Pine","P3_Spring 2021",3,1,4,2021,"Et_IPA","Spring","P3","75","3",-0.841907651046063,-0.675406697285598,"P3_Spring "
"57",57,"Pine","P4_Fall 2020",3,2,5,2020,"Rhodamine","Fall","P4","150","3",-1.06482191609996,-0.735080207164886,"P4_Fall "
"61",61,"Pine","P4_Spring 2021",1,2,3,2021,"Et_IPA","Spring","P4","150","3",-0.677581659428351,-0.913200121897082,"P4_Spring "
"62",62,"Pine","P4_Spring 2022",1,0,1,2022,"Rhodamine","Spring","P4","150","3",-0.677581659428351,-0.913200121897082,"P4_Spring "
"63",63,"Pine","P5_Fall 2020",6,2,8,2020,"Rhodamine","Fall","P5","150","3",-0.0401480023431768,0.16040007997109,"P5_Fall "
"64",64,"Pine","P5_Fall 2021",0,1,1,2021,"Pr_IPA","Fall","P5","150","3",-0.0401480023431768,0.16040007997109,"P5_Fall "
"68",68,"Pine","P5_Spring 2021",1,5,6,2021,"Et_IPA","Spring","P5","150","3",-0.846505137726278,-0.808535451658007,"P5_Spring "
"69",69,"Pine","P5_Spring 2022",1,3,4,2022,"Rhodamine","Spring","P5","150","3",-0.846505137726278,-0.808535451658007,"P5_Spring "
"70",70,"Pine","P6_Fall 2020",4,6,10,2020,"Rhodamine","Fall","P6","150","3",-0.753989601770954,0.435564371826168,"P6_Fall "
"71",71,"Pine","P6_Fall 2021",3,2,5,2021,"Pr_IPA","Fall","P6","150","3",-0.753989601770954,0.435564371826168,"P6_Fall "
"74",74,"Pine","P6_Spring 2021",9,2,11,2021,"Et_IPA","Spring","P6","150","3",-0.472553912865772,-0.356726433763972,"P6_Spring "
"75",75,"Pine","P6_Spring 2022",3,2,5,2022,"Rhodamine","Spring","P6","150","3",-0.472553912865772,-0.356726433763972,"P6_Spring "
"76",76,"Pine","P7_Fall 2020",1,4,5,2020,"Rhodamine","Fall","P7","75","3",-0.696208386937884,-0.693653766913567,"P7_Fall "
"77",77,"Pine","P7_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","P7","75","3",-0.696208386937884,-0.693653766913567,"P7_Fall "
"78",78,"Pine","P7_Spring 2021",1,1,2,2021,"Et_IPA","Spring","P7","75","3",-0.925547063747404,-0.93449628935421,"P7_Spring "
"79",79,"Pine","P7_Spring 2022",1,1,2,2022,"Rhodamine","Spring","P7","75","3",-0.925547063747404,-0.93449628935421,"P7_Spring "
"80",80,"Riparian","R1_Fall 2020",3,3,6,2020,"Rhodamine","Fall","R1","75","3",-0.818555637334619,-0.490215583014217,"R1_Fall "
"81",81,"Riparian","R1_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","R1","75","3",-0.818555637334619,-0.490215583014217,"R1_Fall "
"84",84,"Riparian","R1_Spring 2021",3,2,5,2021,"Et_IPA","Spring","R1","75","3",0.464976958727411,-0.494030039812841,"R1_Spring "
"85",85,"Riparian","R2_Fall 2020",7,10,17,2020,"Rhodamine","Fall","R2","150","3",-0.166068800524391,1.98882396205442,"R2_Fall "
"86",86,"Riparian","R2_Fall 2021",0,3,3,2021,"Pr_IPA","Fall","R2","150","3",-0.166068800524391,1.98882396205442,"R2_Fall "
"90",90,"Riparian","R2_Spring 2021",2,10,12,2021,"Et_IPA","Spring","R2","150","3",0.408588973268482,0.6888218601724,"R2_Spring "
"91",91,"Riparian","R2_Spring 2022",3,3,6,2022,"Rhodamine","Spring","R2","150","3",0.408588973268482,0.6888218601724,"R2_Spring "
"92",92,"Riparian","R3_Fall 2020",4,2,6,2020,"Rhodamine","Fall","R3","150","3",-0.904333261955813,-0.109945220106218,"R3_Fall "
"93",93,"Riparian","R3_Fall 2021",3,1,4,2021,"Pr_IPA","Fall","R3","150","3",-0.904333261955813,-0.109945220106218,"R3_Fall "
"97",97,"Riparian","R3_Spring 2021",6,1,7,2021,"Et_IPA","Spring","R3","150","3",0.502044343280594,0.0344405325295498,"R3_Spring "
"98",98,"Riparian","R3_Spring 2022",2,2,4,2022,"Rhodamine","Spring","R3","150","3",0.502044343280594,0.0344405325295498,"R3_Spring "
"99",99,"Riparian","R4_Fall 2020",6,4,10,2020,"Rhodamine","Fall","R4","75","3",-0.199681652571529,0.59644510257298,"R4_Fall "
"100",100,"Riparian","R4_Fall 2021",0,1,1,2021,"Pr_IPA","Fall","R4","75","3",-0.199681652571529,0.59644510257298,"R4_Fall "
"103",103,"Riparian","R4_Spring 2021",4,3,7,2021,"Et_IPA","Spring","R4","75","3",1.6705951967991,0.171492804098761,"R4_Spring "
"104",104,"Riparian","R4_Spring 2022",1,0,1,2022,"Rhodamine","Spring","R4","75","3",1.6705951967991,0.171492804098761,"R4_Spring "
"105",105,"Riparian","R5_Fall 2020",5,2,7,2020,"Rhodamine","Fall","R5","75","3",-1.06482191609996,-0.229522041827371,"R5_Fall "
"106",106,"Riparian","R5_Fall 2021",0,2,2,2021,"Pr_IPA","Fall","R5","75","3",-1.06482191609996,-0.229522041827371,"R5_Fall "
"109",109,"Riparian","R5_Spring 2021",2,3,5,2021,"Et_IPA","Spring","R5","75","3",-0.59971335128574,-0.495002702475458,"R5_Spring "
"110",110,"Riparian","R6_Fall 2020",2,0,2,2020,"Rhodamine","Fall","R6","150","3",-1.06482191609996,-1.37519279054466,"R6_Fall "
"112",112,"Riparian","R6_Spring 2021",1,1,2,2021,"Et_IPA","Spring","R6","150","3",0.0944106714836491,-1.14591428377743,"R6_Spring "
"113",113,"Riparian","R6_Spring 2022",1,0,1,2022,"Rhodamine","Spring","R6","150","3",0.0944106714836491,-1.14591428377743,"R6_Spring "
"114",114,"Wetland","W1_Fall 2020",4,3,7,2020,"Rhodamine","Fall","W1","75","3",-0.692628738387635,0.108602452904319,"W1_Fall "
"118",118,"Wetland","W1_Spring 2021",1,2,3,2021,"Et_IPA","Spring","W1","75","3",-0.210696526072417,-0.354781964568665,"W1_Spring "
"119",119,"Wetland","W1_Spring 2022",0,1,1,2022,"Rhodamine","Spring","W1","75","3",-0.210696526072417,-0.354781964568665,"W1_Spring "
"120",120,"Wetland","W2_Fall 2020",5,4,9,2020,"Rhodamine","Fall","W2","75","3",-1.06482191609996,1.47152440146753,"W2_Fall "
"121",121,"Wetland","W2_Fall 2021",1,2,3,2021,"Pr_IPA","Fall","W2","75","3",-1.06482191609996,1.47152440146753,"W2_Fall "
"125",125,"Wetland","W2_Spring 2021",6,0,6,2021,"Et_IPA","Spring","W2","75","3",-0.695180042200451,-0.0912021807906379,"W2_Spring "
"126",126,"Wetland","W3_Fall 2020",3,1,4,2020,"Rhodamine","Fall","W3","75","3",-0.78332943042815,-1.37519279054466,"W3_Fall "
"129",129,"Wetland","W3_Spring 2021",1,1,2,2021,"Et_IPA","Spring","W3","75","3",-0.761896900863073,-0.98518091877936,"W3_Spring "
"132",132,"Wetland","W5_Fall 2020",2,3,5,2020,"Rhodamine","Fall","W5","150","3",-0.926564621541582,-0.576724171528689,"W5_Fall "
"136",136,"Wetland","W5_Spring 2021",2,1,3,2021,"Et_IPA","Spring","W5","150","3",-0.165887849719382,-0.857204331206981,"W5_Spring "
"137",137,"Wetland","W6_Fall 2020",3,3,6,2020,"Rhodamine","Fall","W6","150","3",-0.800673568184341,-0.26568045477116,"W6_Fall "
"138",138,"Wetland","W6_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","W6","150","3",-0.800673568184341,-0.26568045477116,"W6_Fall "
"142",142,"Wetland","W6_Spring 2021",2,3,5,2021,"Et_IPA","Spring","W6","150","3",-0.223451183883294,-0.209120694843865,"W6_Spring "
"143",143,"Wetland","W6_Spring 2022",3,1,4,2022,"Rhodamine","Spring","W6","150","3",-0.223451183883294,-0.209120694843865,"W6_Spring "
